n,mae_ug_m3,rmse_ug_m3,bias_ug_m3,correlation,r2,split,forecast_hour,model,scope,skill_vs_persistence_pct,n_stations
5832,14.011685528120712,33.842544427943636,-6.592635459533608,0.3325209297320881,0.0716754224224857,test,72,climatology,pooled_common_cases,7.238138590843257,
5832,19.100882802605962,35.201358466557416,-3.939737401844812,0.3902953426196984,-0.004367568713938397,test,72,raw_cams,pooled_common_cases,-26.453982982411617,
5832,12.481490992378927,29.520813092589446,-5.528816494192924,0.5993577393106848,0.29363289965846184,test,72,obs_lgbm,pooled_common_cases,17.368518206390217,
5832,12.343774586694435,29.232305300170292,-4.559330528553366,0.59890689339758,0.3073721267886671,test,72,cams_lgbm,pooled_common_cases,18.280245072671487,
5832,12.434143576209928,29.38905092604843,-4.472680201206678,0.6017834001704553,0.29992437618654977,test,72,cams_xgboost,pooled_common_cases,17.68197331840623,
5832,12.343774586694435,29.232305300170292,-4.559330528553366,0.59890689339758,0.3073721267886671,test,72,champion,pooled_common_cases,18.280245072671487,
5832,12.353114940617296,29.387311200719335,-4.7134001787556405,0.5934705303308746,0.3000072576140105,test,72,prediction_q50,pooled_common_cases,18.218408927807538,
8580,8.714592074592074,16.491323211275112,4.215664335664336,0.4952939249610032,-0.17798483009822075,validation,3,persistence,pooled_common_cases,0.0,
8580,7.9424941724941736,14.526119309407527,2.2654428904428903,0.429432279257642,0.08603849403625363,validation,3,climatology,pooled_common_cases,8.85982838312076,
8580,7.3642483341379785,13.999862532208025,-2.559325115853993,0.4539333957945807,0.15106149270613,validation,3,raw_cams,pooled_common_cases,15.495203090355837,
8580,5.281541654803047,12.309946665486661,-0.8689220385430003,0.5893438325011401,0.34364162155375655,validation,3,obs_lgbm,pooled_common_cases,39.39427560583467,
8580,5.211426048582025,12.203942882941636,-0.5820942334447121,0.5969948183678374,0.3548970563992657,validation,3,cams_lgbm,pooled_common_cases,40.19885263733393,
8580,5.235881497501494,12.17912574218919,-0.3301148856686545,0.5983499998200452,0.35751806710959855,validation,3,cams_xgboost,pooled_common_cases,39.91822620398921,
8580,5.211426048582025,12.203942882941636,-0.5820942334447121,0.5969948183678374,0.3548970563992657,validation,3,champion,pooled_common_cases,40.19885263733393,
8580,5.212722625185755,12.19594794421707,-0.5922441519741191,0.5977561288635709,0.3557420077674599,validation,3,prediction_q50,pooled_common_cases,40.183974412482634,
8422,9.976537639515554,16.02567534441521,7.091545951080503,0.5079968572615807,-1.4065729807299734,validation,6,persistence,pooled_common_cases,0.0,
8422,6.776519829019235,10.055999622796257,2.3928223699833766,0.5021550767906195,0.052417890646828225,validation,6,climatology,pooled_common_cases,32.07543464599916,
8422,6.021194327548476,9.313865345348292,-0.38529483878164683,0.5553565812473743,0.1871203236352179,validation,6,raw_cams,pooled_common_cases,39.64645305702614,
8422,4.594710304783638,7.644114884244815,-0.5383514784631415,0.674762045750053,0.45245380322796425,validation,6,obs_lgbm,pooled_common_cases,53.94484067714347,
8422,4.43190434295071,7.4347774848315415,-0.346582716036492,0.6956895747921776,0.4820327442665241,validation,6,cams_lgbm,pooled_common_cases,55.57672909089615,
8422,4.448403119522839,7.419158392560761,-0.14320276392465864,0.6966443641764744,0.4842067650473457,validation,6,cams_xgboost,pooled_common_cases,55.41135331456689,
8422,4.43190434295071,7.4347774848315415,-0.346582716036492,0.6956895747921776,0.4820327442665241,validation,6,champion,pooled_common_cases,55.57672909089615,
8422,4.4493872040016145,7.455622672569414,-0.3266840401153784,0.6937753867813602,0.4791241808620369,validation,6,prediction_q50,pooled_common_cases,55.401489326534836,
8616,13.225870473537604,21.005461248799975,-4.427959610027855,0.3940968656597658,-0.06839435181609521,validation,12,persistence,pooled_common_cases,0.0,
