model,forecast_hour,feature,gain_or_split_importance,normalized_importance_pct
cams_lgbm,12,pm25_max_168h,239.0,1.7764233685149398
cams_lgbm,12,pm25_available_fraction_168h,126.0,0.9365244536940687
cams_lgbm,12,latitude,240.0,1.7838561022744166
cams_lgbm,12,longitude,298.0,2.214954660324067
cams_lgbm,12,utc_offset_hours,0.0,0.0
cams_lgbm,12,issue_hour_local_sin,4.0,0.02973093503790694
cams_lgbm,12,issue_hour_local_cos,0.0,0.0
cams_lgbm,12,issue_day_of_year_sin,360.0,2.675784153411625
cams_lgbm,12,issue_day_of_year_cos,382.0,2.839304296120113
cams_lgbm,12,target_hour_local_sin,0.0,0.0
cams_lgbm,12,target_hour_local_cos,0.0,0.0
cams_lgbm,12,target_day_of_year_sin,65.0,0.4831276943659878
cams_lgbm,12,target_day_of_year_cos,54.0,0.4013676230117437
cams_lgbm,12,network_pm25_mean_ug_m3,369.0,2.7426787572469156
cams_lgbm,12,nearby_pm25_weighted_mean_ug_m3,426.0,3.166344581537089
cams_lgbm,12,nearby_station_count,163.0,1.211535602794708
cams_lgbm,12,latest_pm25_age_hours,0.0,0.0
cams_lgbm,12,cams_pm25_ug_m3,762.0,5.663743124721273
cams_lgbm,12,station_code_BANJARBARU2,6.0,0.04459640255686041
cams_lgbm,12,station_code_BATAM2,14.0,0.1040582726326743
cams_lgbm,12,station_code_BENGKULU,0.0,0.0
cams_lgbm,12,station_code_INDRAPURI2,0.0,0.0
cams_lgbm,12,station_code_JAMBI3,11.0,0.0817600713542441
cams_lgbm,12,station_code_JAMBI4,0.0,0.0
cams_lgbm,12,station_code_KEMAYORAN3,20.0,0.1486546751895347
cams_lgbm,12,station_code_KOTABARU,2.0,0.01486546751895347
cams_lgbm,12,station_code_KOTOTABANG2,34.0,0.252712947822209
cams_lgbm,12,station_code_MALANG,0.0,0.0
cams_lgbm,12,station_code_MAROS,5.0,0.03716366879738368
cams_lgbm,12,station_code_MEDAN2,0.0,0.0
cams_lgbm,12,station_code_MLATI,2.0,0.01486546751895347
cams_lgbm,12,station_code_PALANGKARAYA2,0.0,0.0
cams_lgbm,12,station_code_PALEMBANG3,29.0,0.21554927902482532
cams_lgbm,12,station_code_PALEMBANG4,16.0,0.11892374015162777
cams_lgbm,12,station_code_PALU,0.0,0.0
cams_lgbm,12,station_code_PANGKALANBUN2,32.0,0.23784748030325553
cams_lgbm,12,station_code_PEKANBARU2,13.0,0.09662553887319757
cams_lgbm,12,station_code_PESAWARAN,13.0,0.09662553887319757
cams_lgbm,12,station_code_PONTIANAK2,66.0,0.4905604281254645
cams_lgbm,12,station_code_SAMARINDA2,42.0,0.31217481789802287
cams_lgbm,12,station_code_SEMARANG,6.0,0.04459640255686041
cams_lgbm,12,station_code_SINTANG,21.0,0.15608740894901144
cams_lgbm,12,station_code_SORONG,0.0,0.0
cams_lgbm,12,station_code_SUPADIO,59.0,0.4385312918091274
cams_lgbm,12,station_code_TANJUNGHARAPAN2,47.0,0.34933848669540657
cams_lgbm,12,station_code_nan,0.0,0.0
cams_lgbm,12,region_Java,4.0,0.02973093503790694
cams_lgbm,12,region_Kalimantan,24.0,0.17838561022744165
cams_lgbm,12,region_Papua,0.0,0.0
cams_lgbm,12,region_Sulawesi,2.0,0.01486546751895347
cams_lgbm,12,region_Sumatra,9.0,0.06689460383529063
cams_lgbm,12,region_nan,0.0,0.0
cams_lgbm,12,timezone_WIB,0.0,0.0
cams_lgbm,12,timezone_WIT,0.0,0.0
cams_lgbm,12,timezone_WITA,20.0,0.1486546751895347
cams_lgbm,12,timezone_nan,0.0,0.0
cams_lgbm,24,pm25_lag_0h,169.0,2.8393817204301075
cams_lgbm,24,pm25_lag_1h,78.0,1.310483870967742
cams_lgbm,24,pm25_lag_2h,70.0,1.1760752688172043
cams_lgbm,24,pm25_lag_3h,65.0,1.0920698924731183
cams_lgbm,24,pm25_lag_6h,60.0,1.0080645161290323
cams_lgbm,24,pm25_lag_12h,96.0,1.6129032258064515
cams_lgbm,24,pm25_lag_24h,212.0,3.5618279569892475
cams_lgbm,24,pm25_lag_48h,156.0,2.620967741935484
cams_lgbm,24,pm25_lag_72h,150.0,2.5201612903225805
cams_lgbm,24,pm25_lag_168h,199.0,3.3434139784946235
cams_lgbm,24,rh_lag_0h,127.0,2.133736559139785
cams_lgbm,24,temperature_lag_0h,72.0,1.2096774193548387
cams_lgbm,24,rh_lag_1h,48.0,0.8064516129032258
cams_lgbm,24,temperature_lag_1h,112.0,1.881720430107527
cams_lgbm,24,rh_lag_3h,36.0,0.6048387096774194
cams_lgbm,24,temperature_lag_3h,89.0,1.4952956989247312
cams_lgbm,24,rh_lag_6h,57.0,0.9576612903225806
cams_lgbm,24,temperature_lag_6h,78.0,1.310483870967742
cams_lgbm,24,rh_lag_12h,130.0,2.1841397849462365
cams_lgbm,24,temperature_lag_12h,97.0,1.6297043010752688
cams_lgbm,24,rh_lag_24h,43.0,0.7224462365591398
cams_lgbm,24,temperature_lag_24h,117.0,1.965725806451613
cams_lgbm,24,pm25_mean_3h,120.0,2.0161290322580645
cams_lgbm,24,pm25_std_3h,85.0,1.4280913978494623
cams_lgbm,24,pm25_max_3h,94.0,1.5793010752688172
cams_lgbm,24,pm25_available_fraction_3h,0.0,0.0
cams_lgbm,24,pm25_mean_6h,111.0,1.8649193548387097
cams_lgbm,24,pm25_std_6h,83.0,1.394489247311828
cams_lgbm,24,pm25_max_6h,68.0,1.14247311827957
cams_lgbm,24,pm25_available_fraction_6h,0.0,0.0
cams_lgbm,24,pm25_mean_12h,58.0,0.9744623655913979
cams_lgbm,24,pm25_std_12h,58.0,0.9744623655913979
cams_lgbm,24,pm25_max_12h,56.0,0.9408602150537635
cams_lgbm,24,pm25_available_fraction_12h,0.0,0.0
cams_lgbm,24,pm25_mean_24h,130.0,2.1841397849462365
cams_lgbm,24,pm25_std_24h,89.0,1.4952956989247312
cams_lgbm,24,pm25_max_24h,43.0,0.7224462365591398
cams_lgbm,24,pm25_available_fraction_24h,3.0,0.05040322580645161
cams_lgbm,24,pm25_mean_72h,128.0,2.150537634408602
cams_lgbm,24,pm25_std_72h,83.0,1.394489247311828
cams_lgbm,24,pm25_max_72h,60.0,1.0080645161290323
cams_lgbm,24,pm25_available_fraction_72h,11.0,0.18481182795698925
cams_lgbm,24,pm25_mean_168h,230.0,3.864247311827957
cams_lgbm,24,pm25_std_168h,59.0,0.991263440860215
cams_lgbm,24,pm25_max_168h,83.0,1.394489247311828
cams_lgbm,24,pm25_available_fraction_168h,24.0,0.4032258064516129
cams_lgbm,24,latitude,244.0,4.099462365591398
cams_lgbm,24,longitude,131.0,2.200940860215054
cams_lgbm,24,utc_offset_hours,0.0,0.0
cams_lgbm,24,issue_hour_local_sin,0.0,0.0
cams_lgbm,24,issue_hour_local_cos,0.0,0.0
cams_lgbm,24,issue_day_of_year_sin,114.0,1.9153225806451613
cams_lgbm,24,issue_day_of_year_cos,129.0,2.1673387096774195
cams_lgbm,24,target_hour_local_sin,0.0,0.0
cams_lgbm,24,target_hour_local_cos,0.0,0.0
cams_lgbm,24,target_day_of_year_sin,111.0,1.8649193548387097
cams_lgbm,24,target_day_of_year_cos,68.0,1.14247311827957
cams_lgbm,24,network_pm25_mean_ug_m3,238.0,3.9986559139784945
cams_lgbm,24,nearby_pm25_weighted_mean_ug_m3,228.0,3.8306451612903225
cams_lgbm,24,nearby_station_count,42.0,0.7056451612903226
cams_lgbm,24,latest_pm25_age_hours,0.0,0.0
cams_lgbm,24,cams_pm25_ug_m3,548.0,9.206989247311828
cams_lgbm,24,station_code_BANJARBARU2,8.0,0.13440860215053763
cams_lgbm,24,station_code_BATAM2,16.0,0.26881720430107525
cams_lgbm,24,station_code_BENGKULU,21.0,0.3528225806451613
cams_lgbm,24,station_code_INDRAPURI2,0.0,0.0
cams_lgbm,24,station_code_JAMBI3,0.0,0.0
cams_lgbm,24,station_code_JAMBI4,3.0,0.05040322580645161
cams_lgbm,24,station_code_KEMAYORAN3,2.0,0.033602150537634407
cams_lgbm,24,station_code_KOTABARU,1.0,0.016801075268817203
cams_lgbm,24,station_code_KOTOTABANG2,6.0,0.10080645161290322
cams_lgbm,24,station_code_MALANG,2.0,0.033602150537634407
cams_lgbm,24,station_code_MAROS,0.0,0.0
cams_lgbm,24,station_code_MEDAN2,0.0,0.0
cams_lgbm,24,station_code_MLATI,55.0,0.9240591397849462
cams_lgbm,24,station_code_PALANGKARAYA2,3.0,0.05040322580645161
cams_lgbm,24,station_code_PALEMBANG3,8.0,0.13440860215053763
cams_lgbm,24,station_code_PALEMBANG4,1.0,0.016801075268817203
cams_lgbm,24,station_code_PALU,0.0,0.0
cams_lgbm,24,station_code_PANGKALANBUN2,1.0,0.016801075268817203
cams_lgbm,24,station_code_PEKANBARU2,3.0,0.05040322580645161
cams_lgbm,24,station_code_PESAWARAN,3.0,0.05040322580645161
cams_lgbm,24,station_code_PONTIANAK2,2.0,0.033602150537634407
cams_lgbm,24,station_code_SAMARINDA2,0.0,0.0
cams_lgbm,24,station_code_SEMARANG,4.0,0.06720430107526881
cams_lgbm,24,station_code_SINTANG,7.0,0.11760752688172044
cams_lgbm,24,station_code_SORONG,0.0,0.0
cams_lgbm,24,station_code_SUPADIO,5.0,0.08400537634408602
cams_lgbm,24,station_code_TANJUNGHARAPAN2,1.0,0.016801075268817203
cams_lgbm,24,station_code_nan,0.0,0.0
cams_lgbm,24,region_Java,1.0,0.016801075268817203
cams_lgbm,24,region_Kalimantan,5.0,0.08400537634408602
cams_lgbm,24,region_Papua,0.0,0.0
cams_lgbm,24,region_Sulawesi,0.0,0.0
cams_lgbm,24,region_Sumatra,1.0,0.016801075268817203
cams_lgbm,24,region_nan,0.0,0.0
cams_lgbm,24,timezone_WIB,0.0,0.0
cams_lgbm,24,timezone_WIT,0.0,0.0
cams_lgbm,24,timezone_WITA,3.0,0.05040322580645161
cams_lgbm,24,timezone_nan,0.0,0.0
cams_lgbm,48,pm25_lag_0h,136.0,2.5806451612903225
cams_lgbm,48,pm25_lag_1h,65.0,1.2333965844402277
cams_lgbm,48,pm25_lag_2h,52.0,0.9867172675521821
cams_lgbm,48,pm25_lag_3h,85.0,1.6129032258064515
cams_lgbm,48,pm25_lag_6h,68.0,1.2903225806451613
cams_lgbm,48,pm25_lag_12h,61.0,1.157495256166983
cams_lgbm,48,pm25_lag_24h,179.0,3.396584440227704
cams_lgbm,48,pm25_lag_48h,128.0,2.428842504743833
cams_lgbm,48,pm25_lag_72h,146.0,2.7703984819734346
cams_lgbm,48,pm25_lag_168h,189.0,3.586337760910816
cams_lgbm,48,rh_lag_0h,65.0,1.2333965844402277
cams_lgbm,48,temperature_lag_0h,71.0,1.3472485768500948
cams_lgbm,48,rh_lag_1h,40.0,0.7590132827324478
cams_lgbm,48,temperature_lag_1h,69.0,1.3092979127134725
cams_lgbm,48,rh_lag_3h,44.0,0.8349146110056926
cams_lgbm,48,temperature_lag_3h,58.0,1.1005692599620494
cams_lgbm,48,rh_lag_6h,68.0,1.2903225806451613
cams_lgbm,48,temperature_lag_6h,59.0,1.1195445920303606
cams_lgbm,48,rh_lag_12h,102.0,1.935483870967742
cams_lgbm,48,temperature_lag_12h,67.0,1.27134724857685
cams_lgbm,48,rh_lag_24h,56.0,1.0626185958254268
cams_lgbm,48,temperature_lag_24h,106.0,2.0113851992409866
cams_lgbm,48,pm25_mean_3h,68.0,1.2903225806451613
cams_lgbm,48,pm25_std_3h,65.0,1.2333965844402277
cams_lgbm,48,pm25_max_3h,53.0,1.0056925996204933
cams_lgbm,48,pm25_available_fraction_3h,0.0,0.0
cams_lgbm,48,pm25_mean_6h,54.0,1.0246679316888045
cams_lgbm,48,pm25_std_6h,42.0,0.7969639468690702
cams_lgbm,48,pm25_max_6h,61.0,1.157495256166983
cams_lgbm,48,pm25_available_fraction_6h,0.0,0.0
cams_lgbm,48,pm25_mean_12h,62.0,1.1764705882352942
